Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),Id,DEFCON_Level
9,1,0.3,6,19.0,56.0,0.9199706314243721,368.88,1,924000.0,1775,2
8,0,0.26,2,4.0,11.0,0.450073421439055,359.34,1,924000.0,910,2
9,0,0.57,2,18.0,44.0,0.452276064610859,364.64,1,1020800.0,4767,3
10,0,0.46,2,5.0,12.0,0.5418502202643111,322.24,1,897600.0,5019,5
12,1,0.5,1,10.0,17.0,0.685022026431714,340.26,1,950400.0,9006,2
8,1,0.0,2,30.0,45.0,0.364904552129212,345.56,1,1012000.0,7369,4
7,0,0.33,2,9.0,46.0,0.528634361233485,367.82,1,924000.0,9062,2
7,1,0.03,6,25.0,61.0,0.522026431718055,364.64,1,941600.0,8860,2
12,0,0.49,2,5.0,15.0,0.729074889867841,338.14,1,809600.0,7742,2
10,1,0.27,2,21.0,77.0,0.6629955947136539,341.32,1,1038400.0,10954,4
12,0,0.55,3,19.0,53.0,0.729074889867841,328.6,1,880000.0,3208,3
8,0,0.35,3,5.0,10.0,0.360499265785603,347.68,1,1064800.0,9030,4
10,1,0.34,2,12.0,31.0,0.515418502202634,330.72,1,941600.0,1326,2
12,1,0.66,3,12.0,35.0,0.74375917767988,351.92,1,968000.0,7248,2
8,0,0.51,2,15.0,40.0,0.23568281938325,358.28,1,1073600.0,2984,3
10,1,0.37,2,26.0,77.0,0.582232011747428,348.74,1,915200.0,11479,2
7,1,0.04,2,19.0,106.0,0.361967694566808,345.56,1,888800.0,11219,3
8,1,0.0,2,19.0,28.0,0.556534508076358,359.34,1,800800.0,972,2
6,0,0.25,2,5.0,12.0,0.33259911894272903,361.46,1,862400.0,7812,2
9,0,0.52,2,18.0,43.0,0.452276064610859,361.46,1,1082400.0,8928,3
10,1,0.25,2,9.0,32.0,0.47944199706314206,333.9,0,836000.0,10200,2
9,1,0.22,2,5.0,21.0,0.48678414096916206,347.68,1,880000.0,1292,3
9,1,0.33,1,16.0,34.0,0.5748898678414079,339.2,0,880000.0,3479,2
12,0,0.53,3,31.0,106.0,0.7466960352422909,334.96,1,880000.0,12414,1
9,0,0.49,3,25.0,52.0,0.582232011747428,344.5,1,809600.0,139,3
7,1,0.08,2,19.0,101.0,0.406020558002936,347.68,1,897600.0,11117,2
12,1,0.5,3,19.0,112.0,0.699706314243761,332.84,1,827200.0,1738,3
7,0,0.3,2,33.0,58.0,0.516152716593241,363.58,1,880000.0,2976,3
9,1,0.3,3,24.0,143.0,0.596916299559467,345.56,1,836000.0,3219,2
9,0,0.42,2,9.0,20.0,0.626284875183555,359.34,1,924000.0,7494,4
8,1,0.11,2,7.0,19.0,0.523494860499261,362.52,1,880000.0,5161,2
5,0,0.0,2,27.0,94.0,0.14904552129220902,393.26,1,1020800.0,11991,4
9,1,0.14,3,11.0,59.0,0.6409691629955949,364.64,1,1012000.0,10031,3
10,0,0.45,2,11.0,27.0,0.567547723935388,336.02,1,862400.0,8973,3
7,1,0.3,4,30.0,131.0,0.404552129221722,354.04,0,1064800.0,3263,4
10,1,0.39,2,12.0,48.0,0.45741556534507394,327.54,1,836000.0,11860,3
8,0,0.7,3,32.0,119.0,0.552863436123348,326.48,1,809600.0,422,2
